Variable,Net_Carbon
103_2050_NOMG,71.14893341
103_2050_TBB7,32.69896483
103_2050_WF21,32.95907211
162_2050_NOMG,61.37813187
162_2050_TBB7,32.59306274
162_2050_WF21,50.61274719
163_2050_NOMG,80.86965942
163_2050_TBB7,37.90765116
163_2050_WF21,65.91267395
167N_2050_NOMG,65.52012634
167N_2050_TBB7,31.93935055
167N_2050_WF21,30.95004845
167S_2050_NOMG,75.17492676
167S_2050_TBB7,33.84627813
167S_2050_WF21,38.63067245
405_2050_NOMG,90.72280884
405_2050_TBB7,42.54043227
405_2050_WF21,75.36179352
409_2050_NOMG,81.15587616
409_2050_TBB7,36.62410483
409_2050_WF21,65.79722595
