name,comparison,value,lower_bound,upper_bound,binding,shadow_price,lower_slack,upper_slack
AWC,le,19046.0,-inf,71413.0,False,0,inf,52367.0
AffRef,le,2440.0,-inf,2440.0,True,12.043156863,inf,0
Clearcut,le,0,-inf,358524.0,False,0,inf,358524.0
CropTreeRelease,le,1756.0,-inf,108914.0,False,0,inf,107158.0
CropTreeSelection,le,0,-inf,108914.0,False,0,inf,108914.0
NoMgmt,le,625719.0,-inf,648961.0,False,0,inf,23242.0
RxB_7years,le,0,-inf,390432.0,False,0,inf,390432.0
SeedTree,le,0,-inf,282555.0,False,0,inf,282555.0
Shelterwood,le,0,-inf,258990.0,False,0,inf,258990.0
THNP,le,0,-inf,291752.0,False,0,inf,291752.0
ThinBelow,le,0,-inf,323917.0,False,0,inf,323917.0
ThinBurn_21,le,0,-inf,323917.0,False,0,inf,323917.0
ThinBurn_7years,le,0,-inf,323917.0,False,0,inf,323917.0
Weeding,le,0,-inf,50280.0,False,0,inf,50280.0
Wildfire,le,0,-inf,343073.0,False,0,inf,343073.0
103_Acreage,eq,5963.0,5963.0,5963.0,True,-0.842269900000005,0,0
161_Acreage,eq,0,0,0,True,29.71141819,0,0
162_Acreage,eq,9739.0,9739.0,9739.0,True,-10.61307144,0,0
163_Acreage,eq,5902.0,5902.0,5902.0,True,8.87845611,0,0
167N_Acreage,eq,127759.0,127759.0,127759.0,True,-6.47107697,0,0
167S_Acreage,eq,113295.0,113295.0,113295.0,True,3.34262848,0,0
171_Acreage,eq,2151.0,2151.0,2151.0,True,-35.09019089,0,0
401_Acreage,eq,0,0,0,True,29.39084629,0,0
402_Acreage,eq,2535.0,2535.0,2535.0,True,-3.1328888,0,0
404_Acreage,eq,7324.0,7324.0,7324.0,True,-22.00123596,0,0
405_Acreage,eq,6761.0,6761.0,6761.0,True,18.73160553,0,0
406_Acreage,eq,0,0,0,True,16.73461151,0,0
409_Acreage,eq,54498.0,54498.0,54498.0,True,9.16467285,0,0
502_Acreage,eq,4630.0,4630.0,4630.0,True,2.25415801999999,0,0
503_Acreage,eq,93311.0,93311.0,93311.0,True,6.72332763,0,0
504_Acreage,eq,12376.0,12376.0,12376.0,True,-11.02770615,0,0
505_Acreage,eq,5197.0,5197.0,5197.0,True,18.4892044,0,0
506_Acreage,eq,0,0,0,True,32.25138089,0,0
507_Acreage,eq,0,0,0,True,0,0,0
508_Acreage,eq,3540.0,3540.0,3540.0,True,15.70159149,0,0
510_Acreage,eq,3907.0,3907.0,3907.0,True,-2.03359223,0,0
511_Acreage,eq,6634.0,6634.0,6634.0,True,18.18176269,0,0
512_Acreage,eq,3381.0,3381.0,3381.0,True,-23.9561081,0,0
513_Acreage,eq,0,0,0,True,-14.99402619,0,0
515_Acreage,eq,50698.0,50698.0,50698.0,True,9.48947142999999,0,0
516_Acreage,eq,3381.0,3381.0,3381.0,True,18.06065368,0,0
517_Acreage,eq,597.0,597.0,597.0,True,-10.69742584,0,0
519_Acreage,eq,0,0,0,True,0,0,0
520_Acreage,eq,4446.0,4446.0,4446.0,True,-16.0312767,0,0
602_Acreage,eq,303.0,303.0,303.0,True,14.58971405,0,0
605_Acreage,eq,0,0,0,True,18.44353485,0,0
606_Acreage,eq,11832.0,11832.0,11832.0,True,23.7525711,0,0
608_Acreage,eq,40535.0,40535.0,40535.0,True,-3.34867859000001,0,0
701_Acreage,eq,0,0,0,True,0,0,0
702_Acreage,eq,0,0,0,True,0,0,0
703_Acreage,eq,0,0,0,True,-10.02861405,0,0
704_Acreage,eq,0,0,0,True,-47.66065788,0,0
705_Acreage,eq,3943.0,3943.0,3943.0,True,-14.81725693,0,0
706_Acreage,eq,5007.0,5007.0,5007.0,True,-13.32439041,0,0
707_Acreage,eq,0,0,0,True,20.00748443,0,0
708_Acreage,eq,19046.0,19046.0,19046.0,True,-22.12967444,0,0
801_Acreage,eq,26444.0,26444.0,26444.0,True,6.35962676999999,0,0
802_Acreage,eq,1756.0,1756.0,1756.0,True,-39.08889771,0,0
805_Acreage,eq,2005.0,2005.0,2005.0,True,14.66353607,0,0
809_Acreage,eq,0,0,0,True,0,0,0
901_Acreage,eq,0,0,0,True,0,0,0
902_Acreage,eq,1522.0,1522.0,1522.0,True,-55.88272286,0,0
962_Acreage,eq,6103.0,6103.0,6103.0,True,35.18280029,0,0
999_Acreage,eq,2440.0,2440.0,2440.0,True,-63.568908693,0,0
ASV_0,eq,0,0,0,True,0,0,0
CAR_0,eq,0,0,0,True,15.989970443,0,0
RXB0_0,eq,0,0,0,True,22.49398804,0,0
SAR_0,eq,0,0,0,True,18.386245013,0,0
TotalAcreage,eq,648961.0,648961.0,648961.0,True,71.99120331,0,0
