tag_1,tag_2,tag_3,value
103,2050,ASV,0
103,2050,NOMG,5963.0
103,2050,TBB1,0
103,2050,TBB7,0
103,2050,THB,0
103,2050,THB3,0
103,2050,THB4,0
103,2050,WEE,0
103,2050,WEE3,0
103,2050,WEE4,0
103,2050,WF21,0
161,2050,CLC,0
161,2050,CLC3,0
161,2050,CLC4,0
161,2050,NOMG,0
161,2050,RXB7,0
161,2050,RXBO,0
161,2050,SDT3,0
161,2050,SDT4,0
161,2050,SDTR,0
161,2050,TBB1,0
161,2050,TBB7,0
161,2050,THB,0
161,2050,THB3,0
161,2050,THB4,0
161,2050,WF21,0
162,2050,CLC,0
162,2050,CLC3,0
162,2050,CLC4,0
162,2050,NOMG,9739.0
162,2050,RXB7,0
162,2050,RXBO,0
162,2050,SDT3,0
162,2050,SDT4,0
162,2050,SDTR,0
162,2050,SHW,0
162,2050,SHW3,0
162,2050,SHW4,0
162,2050,TBB1,0
162,2050,TBB7,0
162,2050,THB,0
162,2050,THB3,0
162,2050,THB4,0
162,2050,WF21,0
163,2050,CLC,0
163,2050,CLC3,0
163,2050,CLC4,0
163,2050,NOMG,5902.0
163,2050,RXB7,0
163,2050,RXBO,0
163,2050,SDT3,0
163,2050,SDT4,0
163,2050,SDTR,0
163,2050,TBB1,0
163,2050,TBB7,0
163,2050,THB,0
163,2050,THB3,0
163,2050,THB4,0
163,2050,WF21,0
167N,2050,CLC,0
167N,2050,CLC3,0
167N,2050,CLC4,0
167N,2050,NOMG,127759.0
167N,2050,RXB7,0
167N,2050,RXBO,0
167N,2050,SDT3,0
167N,2050,SDT4,0
167N,2050,SDTR,0
167N,2050,TBB1,0
167N,2050,TBB7,0
167N,2050,THB,0
167N,2050,THB3,0
167N,2050,THB4,0
167N,2050,THP,0
167N,2050,THP3,0
167N,2050,THP4,0
167N,2050,WF21,0
167S,2050,CLC,0
167S,2050,CLC3,0
167S,2050,CLC4,0
167S,2050,NOMG,113295.0
167S,2050,RXB7,0
167S,2050,RXBO,0
167S,2050,SDT3,0
167S,2050,SDT4,0
167S,2050,SDTR,0
167S,2050,TBB1,0
167S,2050,TBB7,0
167S,2050,THB,0
167S,2050,THB3,0
167S,2050,THB4,0
167S,2050,THP,0
167S,2050,THP3,0
167S,2050,THP4,0
167S,2050,WF21,0
171,2050,ASV,0
171,2050,NOMG,2151.0
401,2050,ASV,0
401,2050,NOMG,0
402,2050,ASV,0
402,2050,NOMG,2535.0
404,2050,CLC,0
404,2050,CLC3,0
404,2050,CLC4,0
404,2050,NOMG,7324.0
404,2050,RXB7,0
404,2050,RXBO,0
404,2050,SHW,0
404,2050,SHW3,0
404,2050,SHW4,0
404,2050,WEE,0
404,2050,WEE3,0
404,2050,WEE4,0
404,2050,WF21,0
405,2050,CLC,0
405,2050,CLC3,0
405,2050,CLC4,0
405,2050,NOMG,6761.0
405,2050,RXB7,0
405,2050,RXBO,0
405,2050,SHW,0
405,2050,SHW3,0
405,2050,SHW4,0
405,2050,TBB1,0
405,2050,TBB7,0
405,2050,THB,0
405,2050,THB3,0
405,2050,THB4,0
405,2050,WF21,0
406,2050,ASV,0
406,2050,CLC,0
406,2050,CLC3,0
406,2050,CLC4,0
406,2050,NOMG,0
406,2050,RXB7,0
406,2050,RXBO,0
406,2050,SHW,0
406,2050,SHW3,0
406,2050,SHW4,0
406,2050,TBB1,0
406,2050,TBB7,0
406,2050,THB,0
406,2050,THB3,0
406,2050,THB4,0
406,2050,WF21,0
409,2050,CLC,0
