Variable,Net_Carbon
103_2050_ASV,70.28290367
103_2050_NOMG,71.14893341
103_2050_TBB1,42.50444961
103_2050_TBB7,32.69896483
103_2050_THB,47.50346541
103_2050_THB3,44.18024969
103_2050_THB4,45.18948364
103_2050_WEE,58.29357588
103_2050_WEE3,55.64550066
103_2050_WEE4,54.73943043
103_2050_WF21,32.95907211
161_2050_CLC,38.57377052
161_2050_CLC3,40.57526779
161_2050_CLC4,49.46722412
161_2050_NOMG,101.7026215
161_2050_RXB7,71.99120331
161_2050_RXBO,94.48519135
161_2050_SDT3,44.49128723
161_2050_SDT4,53.44553757
161_2050_SDTR,42.69514656
161_2050_TBB1,60.54148579
161_2050_TBB7,46.91639805
161_2050_THB,67.373353
161_2050_THB3,66.39395332
161_2050_THB4,70.71481133
161_2050_WF21,57.76450729
162_2050_CLC,23.19560814
162_2050_CLC3,23.46721029
162_2050_CLC4,27.75809669
162_2050_NOMG,61.37813187
162_2050_RXB7,35.70650101
162_2050_RXBO,51.45526123
162_2050_SDT3,26.81119156
162_2050_SDT4,31.01678944
162_2050_SDTR,26.75909424
162_2050_SHW,33.09152341
162_2050_SHW3,32.82790756
162_2050_SHW4,36.39275932
162_2050_TBB1,44.86567245
162_2050_TBB7,32.59306274
162_2050_THB,51.52353607
162_2050_THB3,47.43901801
162_2050_THB4,46.77781773
162_2050_WF21,33.27984238
163_2050_CLC,22.4970479
163_2050_CLC3,23.25861835
163_2050_CLC4,30.8917675
163_2050_NOMG,80.86965942
163_2050_RXB7,45.03651428
163_2050_RXBO,67.05064392
163_2050_SDT3,27.52010345
163_2050_SDT4,34.97700882
163_2050_SDTR,27.06534624
163_2050_TBB1,54.66538355
163_2050_TBB7,37.90765116
163_2050_THB,64.98732111
163_2050_THB3,55.10183161
163_2050_THB4,54.34387493
163_2050_WF21,39.71987915
167N_2050_CLC,17.9515748
167N_2050_CLC3,18.74513817
167N_2050_CLC4,24.94498825
167N_2050_NOMG,65.52012634
167N_2050_RXB7,35.47585678
167N_2050_RXBO,52.18305588
167N_2050_SDT3,22.92186165
167N_2050_SDT4,28.52321625
167N_2050_SDTR,22.60679483
167N_2050_TBB1,45.00808758
167N_2050_TBB7,31.93935055
167N_2050_THB,52.63348812
167N_2050_THB3,46.09962362
167N_2050_THB4,45.11918306
167N_2050_THP,62.67825681
167N_2050_THP3,53.54093719
167N_2050_THP4,47.90937567
167N_2050_WF21,30.95004845
167S_2050_CLC,22.97545147
167S_2050_CLC3,21.74228573
167S_2050_CLC4,28.54370689
167S_2050_NOMG,75.33383179
167S_2050_RXB7,43.58911896
167S_2050_RXBO,63.97105408
167S_2050_SDT3,25.43499947
167S_2050_SDT4,32.29512501
167S_2050_SDTR,26.42332315
167S_2050_TBB1,48.21894522
167S_2050_TBB7,33.78664465
167S_2050_THB,56.36062308
167S_2050_THB3,49.49012554
167S_2050_THB4,50.02802467
