name,comparison,value,lower_bound,upper_bound,binding,shadow_price,lower_slack,upper_slack
103_NoMgLink,ge,6012.09076503333,0,inf,False,0,6012.09076503333,inf
103_ThinLink,ge,368.1807377000004,368.1807377,inf,False,-12.8166561933333,0,inf
103_WF_Lower,ge,128.8632582,128.8632582,inf,True,-25.3732051066667,0,inf
162_NoMgLink,ge,9819.17691776667,0,inf,False,0,9819.17691776667,inf
162_ThinLink,ge,601.326883099999,601.3268831,inf,False,-9.59502304333333,0,inf
162_WF_Lower,ge,210.4644091,210.4644091,inf,True,-1.17036163666667,0,inf
163_NoMgLink,ge,5950.5885787,0,inf,False,0,5950.5885787,inf
163_ThinLink,ge,364.4143407000003,364.4143407,inf,False,-14.32066942,0,inf
163_WF_Lower,ge,127.5450192,127.5450192,inf,True,-0.636316050000005,0,inf
167N_NoMgLink,ge,128810.78384233301,0,inf,False,0,128810.78384233301,inf
167N_ThinLink,ge,7888.37881300001,7888.378813,inf,False,-11.19359193,0,inf
167N_WF_Lower,ge,2760.932585,2760.932585,inf,True,-23.37648596,0,inf
167S_NoMgLink,ge,114227.708069667,0,inf,False,0,114227.708069667,inf
167S_ThinLink,ge,6995.31052699999,6995.310527,inf,False,-13.77621621,0,inf
167S_WF_Lower,ge,2448.358684,2448.358684,inf,True,-22.7680381,0,inf
405_NoMgLink,ge,7178.452619000001,0,inf,False,0,7178.452619000001,inf
405_ThinLink,ge,417.452619,417.452619,inf,True,-15.36101532,0,inf
405_WF_Lower,ge,417.452619,146.1084167,inf,False,0,271.3442023,inf
409_NoMgLink,ge,54946.6581443333,0,inf,False,0,54946.6581443333,inf
409_ThinLink,ge,3364.936078999998,3364.936079,inf,False,-14.8439237766667,0,inf
409_WF_Lower,ge,1177.727628,1177.727628,inf,True,-0.514726433333337,0,inf
103_Acreage,eq,5962.999999999997,5963.0,5963.0,False,71.14893341,0,0
162_Acreage,eq,9739.000000000004,9739.0,9739.0,False,61.37813187,0,0
163_Acreage,eq,5902.0,5902.0,5902.0,True,80.86965942,0,0
167N_Acreage,eq,127758.99999999968,127759.0,127759.0,False,65.52012634,0,0
167S_Acreage,eq,113295.00000000033,113295.0,113295.0,False,75.17492676,0,0
405_Acreage,eq,6761.0,6761.0,6761.0,True,90.72280884,0,0
409_Acreage,eq,54497.99999999996,54498.0,54498.0,False,81.15587616,0,0
TotalAcreage,eq,323917.0,323917.0,323917.0,True,0,0,0
