decision_variable,value
103_2050_NOMG,5754.36424863333
103_2050_TBB7,79.7724931666668
103_2050_WF21,128.8632582
162_2050_NOMG,9398.24809956667
162_2050_TBB7,130.287491333333
162_2050_WF21,210.4644091
163_2050_NOMG,5695.4985403
163_2050_TBB7,78.9564405000001
163_2050_WF21,127.5450192
167N_2050_NOMG,123288.918672333
167N_2050_TBB7,1709.14874266667
167N_2050_WF21,2760.932585
167S_2050_NOMG,109330.990701667
167S_2050_TBB7,1515.65061433333
167S_2050_WF21,2448.358684
405_2050_NOMG,6343.547381
405_2050_TBB7,0
405_2050_WF21,417.452619
409_2050_NOMG,52591.2028883333
409_2050_TBB7,729.069483666666
409_2050_WF21,1177.727628
