Variable,Total_Stand_Carbon
167N_2021_CMAI,35.17656326
167S_2021_CMAI,37.55690384
505_2021_CMAI,28.51005363
167N_2025_CMAI,38.57290268
167S_2025_CMAI,42.80633545
505_2025_CMAI,21.37271118
167N_2030_CMAI,43.00399017
167S_2030_CMAI,48.99520111
505_2030_CMAI,17.87576866
167N_2050_CMAI,16.19678497
167S_2050_CMAI,19.25231171
505_2050_CMAI,20.77435303
167N_2021_NMGT,33.35884857
167S_2021_NMGT,37.36980438
505_2021_NMGT,55.08007813
608_2021_NMGT,45.92543793
999_2021_NMGT,7.01574707
167N_2025_NMGT,32.19436646
167S_2025_NMGT,43.06770325
505_2025_NMGT,57.87914276
608_2025_NMGT,49.12033081
999_2025_NMGT,6.857643127
167N_2030_NMGT,29.88837624
167S_2030_NMGT,47.3026619
505_2030_NMGT,58.66361618
608_2030_NMGT,52.38873291
999_2030_NMGT,6.87027359
167N_2050_NMGT,29.75567055
167S_2050_NMGT,54.79824829
505_2050_NMGT,66.97566223
608_2050_NMGT,68.34576416
999_2050_NMGT,7.923392296
