decision_variable,value
167N_2021_CMAI,137679.0
167N_2021_NMGT,0
167N_2025_CMAI,137679.0
167N_2025_NMGT,0
167N_2030_CMAI,137679.0
167N_2030_NMGT,0
167N_2050_CMAI,0
167N_2050_NMGT,137679.0
167S_2021_CMAI,122092.0
167S_2021_NMGT,0
167S_2025_CMAI,0
167S_2025_NMGT,122092.0
167S_2030_CMAI,122092.0
167S_2030_NMGT,0
167S_2050_CMAI,0
167S_2050_NMGT,122092.0
505_2021_CMAI,0
505_2021_NMGT,6515.0
505_2025_CMAI,0
505_2025_NMGT,6515.0
505_2030_CMAI,0
505_2030_NMGT,6515.0
505_2050_CMAI,0
505_2050_NMGT,6515.0
608_2021_NMGT,40786.0
608_2025_NMGT,40786.0
608_2030_NMGT,40786.0
608_2050_NMGT,40786.0
999_2021_NMGT,3069.0
999_2025_NMGT,3069.0
999_2030_NMGT,3069.0
999_2050_NMGT,3069.0
