name,comparison,value,lower_bound,upper_bound,binding,shadow_price,lower_slack,upper_slack
167N_CMAI_2021,ge,4590.5,4589.0,inf,False,0,1.5,inf
167N_CMAI_2025,ge,18362.0,18356.0,inf,False,0,6.0,inf
167N_CMAI_2030,ge,22952.5,22945.0,inf,False,0,7.5,inf
167S_CMAI_2021,ge,4069.0,4069.0,inf,True,-1.63061523,0,inf
167S_CMAI_2025,ge,16276.0,16276.0,inf,True,-6.63990402,0,inf
167S_CMAI_2030,ge,20345.0,20345.0,inf,True,-11.42307472,0,inf
505_CMAI_2021,ge,866.0,866.0,inf,True,-28.38773919,0,inf
505_CMAI_2025,ge,3464.0,3464.0,inf,True,-42.8849678,0,inf
505_CMAI_2030,ge,4330.0,4330.0,inf,True,-53.90346145,0,inf
167NAcreage_2021,eq,137679.0,137679.0,137679.0,True,33.35884857,0,0
167NAcreage_2025,eq,137679.0,137679.0,137679.0,True,32.19436646,0,0
167NAcreage_2030,eq,137679.0,137679.0,137679.0,True,29.88837624,0,0
167NAcreage_2050,eq,137679.0,137679.0,137679.0,True,29.75567055,0,0
167SAcreage_2021,eq,122092.0,122092.0,122092.0,True,37.36980438,0,0
167SAcreage_2025,eq,122092.0,122092.0,122092.0,True,43.06770325,0,0
167SAcreage_2030,eq,122092.0,122092.0,122092.0,True,47.3026619,0,0
167SAcreage_2050,eq,122092.0,122092.0,122092.0,True,54.79824829,0,0
505Acreage_2021,eq,25994.0,25994.0,25994.0,True,55.08007813,0,0
505Acreage_2025,eq,25994.0,25994.0,25994.0,True,57.87914276,0,0
505Acreage_2030,eq,25994.0,25994.0,25994.0,True,58.66361618,0,0
505Acreage_2050,eq,25994.0,25994.0,25994.0,True,66.97566223,0,0
608Acreage_2021,eq,40786.0,40786.0,40786.0,True,45.92543793,0,0
608Acreage_2025,eq,40786.0,40786.0,40786.0,True,49.12033081,0,0
608Acreage_2030,eq,40786.0,40786.0,40786.0,True,52.38873291,0,0
608Acreage_2050,eq,40786.0,40786.0,40786.0,True,68.34576416,0,0
999Acreage_2021,eq,3069.0,3069.0,3069.0,True,7.01574707,0,0
999Acreage_2025,eq,3069.0,3069.0,3069.0,True,6.857643127,0,0
999Acreage_2030,eq,3069.0,3069.0,3069.0,True,6.87027359,0,0
999Acreage_2050,eq,3069.0,3069.0,3069.0,True,7.923392296,0,0
CMAI_Cut_2021,eq,9525.5,9525.5,9525.5,True,1.81771469,0,0
CMAI_Cut_2025,eq,38102.0,38102.0,38102.0,True,6.37853622,0,0
CMAI_Cut_2030,eq,47627.5,47627.5,47627.5,True,13.11561393,0,0
TotalAcreage,eq,1318480.0,1318480.0,1318480.0,True,0,0,0
YearlyAcreage_2021,eq,329620.0,329620.0,329620.0,True,0,0,0
YearlyAcreage_2025,eq,329620.0,329620.0,329620.0,True,0,0,0
YearlyAcreage_2030,eq,329620.0,329620.0,329620.0,True,0,0,0
YearlyAcreage_2050,eq,329620.0,329620.0,329620.0,True,0,0,0
