decision_variable,value
167N_2021_CMAI,4590.5
167N_2021_NMGT,133088.5
167N_2025_CMAI,18362.0
167N_2025_NMGT,119317.0
167N_2030_CMAI,22952.5
167N_2030_NMGT,114726.5
167N_2050_CMAI,0
167N_2050_NMGT,137679.0
167S_2021_CMAI,4069.0
167S_2021_NMGT,118023.0
167S_2025_CMAI,16276.0
167S_2025_NMGT,105816.0
167S_2030_CMAI,20345.0
167S_2030_NMGT,101747.0
167S_2050_CMAI,0
167S_2050_NMGT,122092.0
505_2021_CMAI,866.0
505_2021_NMGT,25128.0
505_2025_CMAI,3464.0
505_2025_NMGT,22530.0
505_2030_CMAI,4330.0
505_2030_NMGT,21664.0
505_2050_CMAI,0
505_2050_NMGT,25994.0
608_2021_NMGT,40786.0
608_2025_NMGT,40786.0
608_2030_NMGT,40786.0
608_2050_NMGT,40786.0
999_2021_NMGT,3069.0
999_2025_NMGT,3069.0
999_2030_NMGT,3069.0
999_2050_NMGT,3069.0
