name,comparison,value,lower_bound,upper_bound,binding,shadow_price,lower_slack,upper_slack
AFRE,le,0,-inf,2440.0,False,0,inf,2440.0
ASV,le,5197.0,-inf,5197.0,True,11.98284912,inf,0
NoMgmt,le,126270.0,-inf,289226.0,False,0,inf,162956.0
THNB,le,241054.0,-inf,246251.0,False,0,inf,5197.0
167NAcreage,eq,127759.0,127759.0,127759.0,True,52.52135849,0,0
167SAcreage,eq,113295.0,113295.0,113295.0,True,56.7223053,0,0
505Acreage,eq,5197.0,5197.0,5197.0,True,75.69155884,0,0
608Acreage,eq,40535.0,40535.0,40535.0,True,68.23196411,0,0
999Acreage,eq,2440.0,2440.0,2440.0,True,51.65509605,0,0
TotalAcreage,eq,289226.0,289226.0,289226.0,True,0,0,0
TotalCedar,eq,30000.0,30000.0,30000.0,True,-21.50358581,0,0
