const_name,999_2021_AWR,999_2021_NMGT,999_2025_AWR,999_2025_NMGT,999_2030_AWR,999_2030_NMGT,999_2050_AWR,999_2050_NMGT,operator,rtSide
TotalAcreage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,eq,9760.0
2021Acreage,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,eq,2440.0
2025Acreage,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,eq,2440.0
2030Acreage,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,eq,2440.0
2050Acreage,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,eq,2440.0
NoMgmt,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,le,9760.0
TotalCedar,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,eq,2000.0
AWCConvert21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eq,100.0
AWCConvert25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,eq,400.0
AWCConvert30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,eq,500.0
AWCConvert50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,eq,1000.0
999Acreage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,eq,9760.0
