VARIABLE,Total_Stand_Carbon
167N_2021_NMGT,34.98316193
167N_2021_THNB,34.40309143
167N_2025_NMGT,38.76063538
167N_2025_THNB,35.58309555
167N_2030_NMGT,41.97113419
167N_2030_THNB,37.79971313
167N_2050_NMGT,50.44137192
167N_2050_THNB,52.52135849
167S_2021_NMGT,37.30808258
167S_2021_THNB,36.31232834
167S_2025_NMGT,42.98514938
167S_2025_THNB,37.21001816
167S_2030_NMGT,44.79344177
167S_2030_THNB,39.4311409
167S_2050_NMGT,56.7223053
167S_2050_THNB,56.20244217
505_2021_ASV,55.08232498
505_2021_NMGT,55.08245468
505_2021_THNB,53.64161682
505_2025_ASV,59.13082123
505_2025_NMGT,57.88007736
505_2025_THNB,55.2782135
505_2030_ASV,63.70775604
505_2030_NMGT,58.66313934
505_2030_THNB,58.10810089
505_2050_ASV,87.67440796
505_2050_NMGT,66.98155212
505_2050_THNB,75.69155884
608_2021_NMGT,45.92776489
608_2025_NMGT,49.10295486
608_2030_NMGT,52.3863945
608_2050_NMGT,68.23196411
999_2021_CAR,4.819447041
999_2021_NAR,4.822152615
999_2021_NMGT,7.013255119
999_2021_SAR,4.819447041
999_2025_CAR,4.118044376
999_2025_NAR,3.923559904
999_2025_NMGT,6.855062008
999_2025_SAR,4.186556339
999_2030_CAR,4.952582359
999_2030_NAR,4.113889694
999_2030_NMGT,6.872277737
999_2030_SAR,5.301851273
999_2050_CAR,23.66057205
999_2050_NAR,19.64910126
999_2050_NMGT,7.965801239
999_2050_SAR,26.01272392
