decision_variable,value
167N_2021_NMGT,34419.75
167N_2021_THNB,0
167N_2025_NMGT,34419.75
167N_2025_THNB,0
167N_2030_NMGT,34419.75
167N_2030_THNB,0
167N_2050_NMGT,0
167N_2050_THNB,34419.75
167S_2021_NMGT,0
167S_2021_THNB,0
167S_2025_NMGT,30523
167S_2025_THNB,0
167S_2030_NMGT,0
167S_2030_THNB,0
167S_2050_NMGT,0
167S_2050_THNB,0
505_2021_ASV,0
505_2021_NMGT,6515
505_2021_THNB,0
505_2025_ASV,0
505_2025_NMGT,6515
505_2025_THNB,0
505_2030_ASV,0
505_2030_NMGT,6515
505_2030_THNB,0
505_2050_ASV,6515
505_2050_NMGT,0
505_2050_THNB,0
608_2021_AWR,0
608_2021_NMGT,10196.5
608_2025_AWR,0
608_2025_NMGT,10196.5
608_2030_AWR,0
608_2030_NMGT,10196.5
608_2050_AWR,0
608_2050_NMGT,10196.5
999_2021_AWR,258242.5
999_2021_CAR,0
999_2021_NAR,0
999_2021_NMGT,767.25
999_2021_SAR,0
999_2025_AWR,227719.5
999_2025_CAR,0
999_2025_NAR,0
999_2025_NMGT,0
999_2025_SAR,767.25
999_2030_AWR,258242.5
999_2030_CAR,0
999_2030_NAR,0
999_2030_NMGT,0
999_2030_SAR,767.25
999_2050_AWR,258242.5
999_2050_CAR,0
999_2050_NAR,0
999_2050_NMGT,0
999_2050_SAR,767.25
