name,comparison,value,lower_bound,upper_bound,binding,shadow_price,lower_slack,upper_slack
NoMgmt,le,196881.875,-inf,289226.0,False,0,inf,92344.125
167NAcreage,eq,127759.0,127759.0,127759.0,True,29.75567055,0,0
167SAcreage,eq,113295.0,113295.0,113295.0,True,54.79824829,0,0
505Acreage,eq,5197.0,5197.0,5197.0,True,66.97566223,0,0
608Acreage,eq,40535.0,40535.0,40535.0,True,68.34576416,0,0
999Acreage,eq,2440.0,2440.0,2440.0,True,7.923392296,0,0
CMAI_167N_CMAI21,eq,15969.875,15969.875,15969.875,True,-12.20258141,0,0
CMAI_167N_CMAI31,eq,15969.875,15969.875,15969.875,True,-15.9929514,0,0
CMAI_167N_CMAI41,eq,15969.875,15969.875,15969.875,True,-13.55888558,0,0
CMAI_167S_CMAI21,eq,14161.875,14161.875,14161.875,True,-27.34681892,0,0
CMAI_167S_CMAI31,eq,14161.875,14161.875,14161.875,True,-37.11749077,0,0
CMAI_167S_CMAI41,eq,14161.875,14161.875,14161.875,True,-35.54593658,0,0
CMAI_505_CMAI21,eq,649.625,649.625,649.625,True,-39.19466223,0,0
CMAI_505_CMAI31,eq,649.625,649.625,649.625,True,-48.06855965,0,0
CMAI_505_CMAI41,eq,649.625,649.625,649.625,True,-46.2013092,0,0
TotalAcreage,eq,289226.0,289226.0,289226.0,True,0,0,0
