name,comparison,value,lower_bound,upper_bound,binding,shadow_price,lower_slack,upper_slack
NoMgmt,le,196881.875,-inf,289226.0,False,0,inf,92344.125
167NAcreage,eq,127759.0,127759.0,127759.0,True,50.44137192,0,0
167SAcreage,eq,113295.0,113295.0,113295.0,True,56.7223053,0,0
505Acreage,eq,5197.0,5197.0,5197.0,True,66.98155212,0,0
608Acreage,eq,40535.0,40535.0,40535.0,True,68.23196411,0,0
999Acreage,eq,2440.0,2440.0,2440.0,True,7.965801239,0,0
CMAI167N_CMAI21,eq,15969.875,15969.875,15969.875,True,-32.48204279,0,0
CMAI167N_CMAI31,eq,15969.875,15969.875,15969.875,True,-31.68384552,0,0
CMAI167N_CMAI41,eq,15969.875,15969.875,15969.875,True,-24.42964936,0,0
CMAI167S_CMAI21,eq,14161.875,14161.875,14161.875,True,-33.75216103,0,0
CMAI167S_CMAI31,eq,14161.875,14161.875,14161.875,True,-35.30353785,0,0
CMAI167S_CMAI41,eq,14161.875,14161.875,14161.875,True,-26.8595686,0,0
CMAI505_CMAI21,eq,649.625,649.625,649.625,True,-28.98855212,0,0
CMAI505_CMAI31,eq,649.625,649.625,649.625,True,-34.46653556,0,0
CMAI505_CMAI41,eq,649.625,649.625,649.625,True,-27.33066749,0,0
TotalAcreage,eq,289226.0,289226.0,289226.0,True,0,0,0
