Variable,Total_Stand_Carbon
167N_2050_NMGT,50.44137192
167N_2050_TH30,45.60111237
167N_2050_THNB,52.52135849
167S_2050_NMGT,56.7223053
167S_2050_TH30,48.84451675
167S_2050_THNB,56.20244217
505_2050_ASV,87.67440796
505_2050_NMGT,66.98155212
505_2050_TH30,67.86616516
505_2050_THNB,75.69155884
608_2050_AW30,33.93233109
608_2050_AWR,46.7283783
608_2050_NMGT,68.23196411
999_2050_AW30,19.55261993
999_2050_AWR,30.15151024
999_2050_CAR,23.66057205
999_2050_NAR,19.64910126
999_2050_NMGT,7.965801239
999_2050_SAR,26.01272392
