name,comparison,value,lower_bound,upper_bound,binding,shadow_price,lower_slack,upper_slack
AFRE,le,0,#NAME?,2440,FALSE,0,inf,2440
ASV,le,5197,#NAME?,5197,TRUE,14.97353929,inf,0
NoMgmt,le,252529,#NAME?,289226,FALSE,0,inf,36697
THNB,le,1500,#NAME?,246251,FALSE,0,inf,244751
167NAcreage,eq,127759,127759,127759,TRUE,50.44137192,0,0
167SAcreage,eq,113295,113295,113295,TRUE,56.7223053,0,0
505Acreage,eq,5197,5197,5197,TRUE,73.89715499,0,0
608Acreage,eq,40535,40535,40535,TRUE,68.23196411,0,0
999Acreage,eq,2440,2440,2440,TRUE,46.92275166,0,0
THN21,eq,1000,1000,1000,TRUE,2.1921162,0,0
THN30,eq,500,500,500,TRUE,-4.3417483,0,0
TotalAcreage,eq,289226,289226,289226,TRUE,0,0,0
TotalCedar_AW30,eq,15000,15000,15000,TRUE,-26.41512298,0,0
TotalCedar_AWR,eq,15000,15000,15000,TRUE,-14.54703331,0,0
