Variable,Net_Carbon
167N_2050_NMGT,50.44137192
167N_2050_TH30,46.09962362
167N_2050_TH21,52.63348812
167S_2050_NMGT,56.7223053
167S_2050_TH30,49.49012554
167S_2050_TH21,56.36062308
505_2050_ASV,88.87069428
505_2050_NMGT,66.98155212
505_2050_TH30,69.42274952
505_2050_TH21,76.08927119
608_2050_AW30,41.81684113
608_2050_AWR,53.6849308
608_2050_NMGT,68.23196411
999_2050_AW30,20.50762868
999_2050_AWR,30.96786046
999_2050_CAR,24.47692227
999_2050_NAR,20.46545148
999_2050_NMGT,7.965801239
999_2050_SAR,26.82907414
