decision_variable,value
167N_2021_PLSQ,221277.0
167N_2021_THNB,0
167N_2025_PLSQ,221277.0
167N_2025_THNB,0
167N_2030_PLSQ,221277.0
167N_2030_THNB,0
167N_2050_PLSQ,221277.0
167N_2050_THNB,0
167S_2021_PLSQ,197602.0
167S_2021_THNB,0
167S_2025_PLSQ,197602.0
167S_2025_THNB,0
167S_2030_PLSQ,197602.0
167S_2030_THNB,0
167S_2050_PLSQ,197602.0
167S_2050_THNB,0
505_2021_ASV,54907.0
505_2021_IFM,0
505_2021_PLSQ,0
505_2021_THNB,0
505_2025_ASV,54907.0
505_2025_IFM,0
505_2025_PLSQ,0
505_2025_THNB,0
505_2030_ASV,0
505_2030_IFM,0
505_2030_PLSQ,54907.0
505_2030_THNB,0
505_2050_ASV,54907.0
505_2050_IFM,0
505_2050_PLSQ,0
505_2050_THNB,0
608_2021_AWR,0
608_2021_PLSQ,118164.0
608_2025_AWR,0
608_2025_PLSQ,118164.0
608_2030_AWR,0
608_2030_PLSQ,118164.0
608_2050_AWR,0
608_2050_PLSQ,118164.0
999_2021_AWR,0
999_2021_CAR,4845.0
999_2021_NAR,0
999_2021_PLSQ,20000.0
999_2025_AWR,0
999_2025_CAR,4845.0
999_2025_NAR,0
999_2025_PLSQ,20000.0
999_2030_AWR,5000.0
999_2030_CAR,4845.0
999_2030_NAR,0
999_2030_PLSQ,15000.0
999_2050_AWR,20000.0
999_2050_CAR,4845.0
999_2050_NAR,0
999_2050_PLSQ,0
