constraint,objective_value
ARstart_2021,3.63178826200001
AWRConvert2021Ac,0.0
AWRConvert2025Ac,0.0
AWRConvert2030Ac,0.0
AWRConvert2050Ac,10.33691979
AWRTotalAc_2021,0.0
AWRTotalAc_2025,0.0
AWRTotalAc_2030,0.0
AWRTotalAc_2050,0.0
ThinSetup,0.0
TotalAcreage,0.0
YearlyAcreage_2021,0.0
YearlyAcreage_2025,0.0
YearlyAcreage_2030,0.0
YearlyAcreage_2050,0.0
167NAcreage_2021,0.0
167NAcreage_2025,16.17498017
167NAcreage_2030,-0.386123659999996
167NAcreage_2050,6.94919205
167SAcreage_2021,0.0
167SAcreage_2025,5.69789887
167SAcreage_2030,6.04570389
167SAcreage_2050,14.3312416
505Acreage_2021,0.122047420000001
505Acreage_2025,4.32226181
505Acreage_2030,5.0554924
505Acreage_2050,31.03562546
608Acreage_2021,0.0
608Acreage_2025,3.24341583
608Acreage_2030,3.18715286
608Acreage_2050,15.23469162
999Acreage_2021,0.0
999Acreage_2025,-0.101026058
999Acreage_2030,2.231232643
999Acreage_2050,13.224596015
ARCont2025_CAR,0.605867386000001
ARCont2025_NAR,0.799848556
ARCont2025_SAR,0.534372329000001
ARcont2030_CAR,1.408347606
ARcont2030_NAR,2.046463967
ARcont2030_SAR,1.118991375
ARcont2050_CAR,-5.45060445
ARcont2050_NAR,-2.2225752
ARcont2050_SAR,-7.491454132
ThinCont2025_167N,15.13000489
ThinCont2025_167S,5.00108338
ThinCont2025_505,2.90893554
ThinCont2030_167N,-1.47601318
ThinCont2030_167S,4.90097427
ThinCont2030_505,2.15177536
ThinCont2050_167N,-14.23827744
ThinCont2050_167S,-9.87394715000001
ThinCont2050_505,3.31487655999999
