constraint,objective_value
ARstart_2021,15.8160151615556
AWRConvert2021Ac,34.8253344733584
AWRConvert2025Ac,30.5273741783584
AWRConvert2030Ac,24.8859571433584
AWRConvert2050Ac,23.2509807633584
AWRTotalAc_2021,0.0
AWRTotalAc_2025,0.0
AWRTotalAc_2030,0.0
AWRTotalAc_2050,0.0
ThinSetup,0.0
TotalAcreage,0.0
YearlyAcreage_2021,0.0
YearlyAcreage_2025,0.0
YearlyAcreage_2030,0.0
YearlyAcreage_2050,0.0
167NAcreage_2021,0.0
167NAcreage_2025,7.44029269343358
167NAcreage_2030,-0.386123659999996
167NAcreage_2050,6.94919205
167SAcreage_2021,0.0
167SAcreage_2025,5.69789887
167SAcreage_2030,6.04570389
167SAcreage_2050,14.3312416
505Acreage_2021,4.91456798666667
505Acreage_2025,6.75828651666666
505Acreage_2030,7.06948379666667
505Acreage_2050,26.11871493
608Acreage_2021,0.0
608Acreage_2025,3.24341583
608Acreage_2030,3.18715286
608Acreage_2050,15.23469162
999Acreage_2021,0.0
999Acreage_2025,-0.101026058
999Acreage_2030,0.0980658529999996
999Acreage_2050,1.249969006
ARCont2025_CAR,-0.220437222888889
ARCont2025_NAR,5.862432836
ARCont2025_SAR,5.596956609
ARcont2030_CAR,-0.25159859288889
ARcont2030_NAR,6.275406657
ARcont2030_SAR,5.347934065
ARcont2050_CAR,-15.0646652528889
ARcont2050_NAR,-5.947747114
ARcont2050_SAR,-11.216626046
ThinCont2025_167N,8.46486158507519
ThinCont2025_167S,6.65396396664161
ThinCont2025_505,12.3799993116667
ThinCont2030_167N,0.929787766641608
ThinCont2030_167S,7.0929873616416
ThinCont2030_505,12.1086590716667
ThinCont2050_167N,-11.5492167433584
ThinCont2050_167S,-7.25706093835841
ThinCont2050_505,7.17620320999999
