,Run,StandID,MgmtID,Mgmt_Cost
0,0,167S,PLSQ,0.0
1,0,167S,THNB,-1.0
2,0,505,PLSQ,0.0
3,0,505,ASV,-1.0
4,0,505,IFM,10.0
5,0,505,THNB,10.0
6,0,167N,PLSQ,0.0
7,0,167N,THNB,-1.0
8,0,999,PLSQ,0.0
9,0,999,AWR,-1.0
10,0,999,CAR,10.0
11,0,999,NAR,10.0
12,0,999,SAR,10.0
13,0,608,PLSQ,0.0
14,0,608,AWR,-1.0
0,1,167S,PLSQ,0.0
1,1,167S,THNB,-0.9724310776942355
2,1,505,PLSQ,0.0
3,1,505,ASV,-0.9166666666666666
4,1,505,IFM,10.0
5,1,505,THNB,10.0
6,1,167N,PLSQ,0.0
7,1,167N,THNB,-0.9724310776942355
8,1,999,PLSQ,0.0
9,1,999,AWR,-0.8888888888888888
10,1,999,CAR,10.0
11,1,999,NAR,10.0
12,1,999,SAR,10.0
13,1,608,PLSQ,0.0
14,1,608,AWR,-0.9724310776942355
0,2,167S,PLSQ,0.0
1,2,167S,THNB,-0.9448621553884712
2,2,505,PLSQ,0.0
3,2,505,ASV,-0.8333333333333334
4,2,505,IFM,10.0
5,2,505,THNB,10.0
6,2,167N,PLSQ,0.0
7,2,167N,THNB,-0.9448621553884712
8,2,999,PLSQ,0.0
9,2,999,AWR,-0.7777777777777778
10,2,999,CAR,10.0
11,2,999,NAR,10.0
12,2,999,SAR,10.0
13,2,608,PLSQ,0.0
14,2,608,AWR,-0.9448621553884712
0,3,167S,PLSQ,0.0
1,3,167S,THNB,-0.9172932330827068
2,3,505,PLSQ,0.0
3,3,505,ASV,-0.75
4,3,505,IFM,10.0
5,3,505,THNB,10.0
6,3,167N,PLSQ,0.0
7,3,167N,THNB,-0.9172932330827068
8,3,999,PLSQ,0.0
9,3,999,AWR,-0.6666666666666667
10,3,999,CAR,10.0
11,3,999,NAR,10.0
12,3,999,SAR,10.0
13,3,608,PLSQ,0.0
14,3,608,AWR,-0.9172932330827068
0,4,167S,PLSQ,0.0
1,4,167S,THNB,-0.8897243107769424
2,4,505,PLSQ,0.0
3,4,505,ASV,-0.6666666666666667
4,4,505,IFM,10.0
5,4,505,THNB,10.0
6,4,167N,PLSQ,0.0
7,4,167N,THNB,-0.8897243107769424
8,4,999,PLSQ,0.0
9,4,999,AWR,-0.5555555555555556
10,4,999,CAR,10.0
11,4,999,NAR,10.0
12,4,999,SAR,10.0
13,4,608,PLSQ,0.0
14,4,608,AWR,-0.8897243107769424
0,5,167S,PLSQ,0.0
1,5,167S,THNB,-0.8621553884711779
2,5,505,PLSQ,0.0
3,5,505,ASV,-0.5833333333333334
4,5,505,IFM,10.0
5,5,505,THNB,10.0
6,5,167N,PLSQ,0.0
7,5,167N,THNB,-0.8621553884711779
8,5,999,PLSQ,0.0
