name,comparison,value,lower_bound,upper_bound,binding,shadow_price,lower_slack,upper_slack
ARstart_2021,le,4845.0,-inf,24845.0,False,0,inf,20000.0
AWRConvert2021Ac,le,0,-inf,1000.0,False,0,inf,1000.0
AWRConvert2025Ac,le,0,-inf,4000.0,False,0,inf,4000.0
AWRConvert2030Ac,le,5000.0,-inf,5000.0,True,0.319925785,inf,0
AWRConvert2050Ac,le,20000.0,-inf,20000.0,True,12.602982514,inf,0
AWRTotalAc_2021,le,0,-inf,143009.0,False,0,inf,143009.0
AWRTotalAc_2025,le,0,-inf,143009.0,False,0,inf,143009.0
AWRTotalAc_2030,le,5000.0,-inf,143009.0,False,0,inf,138009.0
AWRTotalAc_2050,le,20000.0,-inf,143009.0,False,0,inf,123009.0
ThinSetup,le,0,-inf,473786.0,False,0,inf,473786.0
TotalAcreage,le,2467180.0,-inf,2467184.0,False,0,inf,4.0
YearlyAcreage_2021,le,616795.0,-inf,616795.0,True,0,inf,0
YearlyAcreage_2025,le,616795.0,-inf,616795.0,True,0,inf,0
YearlyAcreage_2030,le,616795.0,-inf,616795.0,True,0,inf,0
YearlyAcreage_2050,le,616795.0,-inf,616795.0,True,0,inf,0
167NAcreage_2021,eq,221277.0,221277.0,221277.0,True,35.01963806,0,0
167NAcreage_2025,eq,221277.0,221277.0,221277.0,True,38.45547867,0,0
167NAcreage_2030,eq,221277.0,221277.0,221277.0,True,42.39970398,0,0
167NAcreage_2050,eq,221277.0,221277.0,221277.0,True,64.17437744,0,0
167SAcreage_2021,eq,197602.0,197602.0,197602.0,True,37.36980438,0,0
167SAcreage_2025,eq,197602.0,197602.0,197602.0,True,42.8428421,0,0
167SAcreage_2030,eq,197602.0,197602.0,197602.0,True,48.52858734,0,0
167SAcreage_2050,eq,197602.0,197602.0,197602.0,True,75.53630066,0,0
505Acreage_2021,eq,54907.0,54907.0,54907.0,True,55.20212555,0,0
505Acreage_2025,eq,54907.0,54907.0,54907.0,True,59.40862656,0,0
505Acreage_2030,eq,54907.0,54907.0,54907.0,True,63.70918655,0,0
505Acreage_2050,eq,54907.0,54907.0,54907.0,True,94.44068146,0,0
608Acreage_2021,eq,118164.0,118164.0,118164.0,True,45.94402313,0,0
608Acreage_2025,eq,118164.0,118164.0,118164.0,True,48.9426651,0,0
608Acreage_2030,eq,118164.0,118164.0,118164.0,True,51.85298157,0,0
608Acreage_2050,eq,118164.0,118164.0,118164.0,True,66.14112854,0,0
999Acreage_2021,eq,24845.0,24845.0,24845.0,True,7.028610229,0,0
999Acreage_2025,eq,24845.0,24845.0,24845.0,True,6.64113903,0,0
999Acreage_2030,eq,24845.0,24845.0,24845.0,True,6.27035284,0,0
999Acreage_2050,eq,24845.0,24845.0,24845.0,True,17.548811916,0,0
ARCont2025_CAR,eq,0,0,0,True,2.525876522,0,0
ARCont2025_NAR,eq,0,0,0,True,2.717151641,0,0
ARcont2030_CAR,eq,0,0,0,True,1.332205295,0,0
ARcont2030_NAR,eq,0,0,0,True,2.161596775,0,0
ARcont2050_CAR,eq,0,0,0,True,-6.064536094,0,0
ARcont2050_NAR,eq,0,0,0,True,-2.007115364,0,0
ThinCont2025_167N,eq,0,0,0,True,2.97320175,0,0
ThinCont2025_167S,eq,0,0,0,True,5.70724869,0,0
ThinCont2025_505,eq,0,0,0,True,4.30147934,0,0
ThinCont2030_167N,eq,0,0,0,True,5.82753754,0,0
ThinCont2030_167S,eq,0,0,0,True,10.24826431,0,0
ThinCont2030_505,eq,0,0,0,True,5.69832229,0,0
ThinCont2050_167N,eq,0,0,0,True,6.41474151,0,0
ThinCont2050_167S,eq,0,0,0,True,13.05078888,0,0
ThinCont2050_505,eq,0,0,0,True,8.7090683,0,0
