Variable,StandID,MgmtID,Year,Total_Stand_Carbon,HrvCarbon_Products
167N_2021_PLSQ,167N,PLSQ,2021,35.02158737,0
167N_2021_THNB,167N,THNB,2021,34.43730164,0.290956199
167N_2025_PLSQ,167N,PLSQ,2025,36.86994934,0
167N_2025_THNB,167N,THNB,2025,35.48227692,0.191103697
167N_2030_PLSQ,167N,PLSQ,2030,36.48382568,0
167N_2030_THNB,167N,THNB,2030,36.57216644,0.123852342
167N_2050_PLSQ,167N,PLSQ,2050,43.43301773,0
167N_2050_THNB,167N,THNB,2050,57.75963593,0.067200392
167S_2021_PLSQ,167S,PLSQ,2021,37.36980438,0
167S_2021_THNB,167S,THNB,2021,36.43877792,0.436179519
167S_2025_PLSQ,167S,PLSQ,2025,43.06770325,0
167S_2025_THNB,167S,THNB,2025,37.13559341,0.274436414
167S_2030_PLSQ,167S,PLSQ,2030,49.11340714,0
167S_2030_THNB,167S,THNB,2030,38.28032303,0.166609913
167S_2050_PLSQ,167S,PLSQ,2050,63.44464874,0
167S_2050_THNB,167S,THNB,2050,62.48551178,0.081635289
505_2021_ASV,505,ASV,2021,55.20212555,8.32486E-05
505_2021_IFM,505,IFM,2021,52.6163559,1.49232471
505_2021_PLSQ,505,PLSQ,2021,55.08007813,0
505_2021_THNB,505,THNB,2021,53.69382095,0.858615398
505_2025_ASV,505,ASV,2025,59.40862656,0.179182634
505_2025_IFM,505,IFM,2025,54.11275101,1.069044948
505_2025_PLSQ,505,PLSQ,2025,59.40233994,0
505_2025_THNB,505,THNB,2025,55.10714722,0.592992187
505_2030_ASV,505,ASV,2030,63.405056,0.342937887
505_2030_IFM,505,IFM,2030,57.43001938,0.767109752
505_2030_PLSQ,505,PLSQ,2030,64.45783234,0
505_2030_THNB,505,THNB,2030,58.01086426,0.411421537
505_2050_ASV,505,ASV,2050,94.44068146,1.016617894
505_2050_IFM,505,IFM,2050,78.3806076,0.435376912
505_2050_PLSQ,505,PLSQ,2050,90.43148041,0
505_2050_THNB,505,THNB,2050,85.73161316,0.244352564
608_2021_AWR,608,AWR,2021,27.27749252,11.3035183
608_2021_PLSQ,608,PLSQ,2021,45.94468689,0
608_2025_AWR,608,AWR,2025,21.59488869,8.495691299
608_2025_PLSQ,608,PLSQ,2025,49.18810272,0
608_2030_AWR,608,AWR,2030,21.13136482,6.312339306
608_2030_PLSQ,608,PLSQ,2030,52.37525558,0
608_2050_AWR,608,AWR,2050,46.70297623,3.187824726
608_2050_PLSQ,608,PLSQ,2050,67.6099472,0
999_2021_AWR,999,AWR,2021,4.822155952,1.319345474
999_2021_CAR,999,CAR,2021,4.822155952,1.319345474
999_2021_NAR,999,NAR,2021,4.824862003,1.319345474
999_2021_PLSQ,999,PLSQ,2021,7.028458118,0
999_2021_SAR,999,SAR,2021,4.822155952,1.319345474
999_2025_AWR,999,AWR,2025,4.359045982,0.987483144
999_2025_CAR,999,CAR,2025,4.115262508,0.987483144
999_2025_NAR,999,NAR,2025,3.923987389,0.987483144
999_2025_PLSQ,999,PLSQ,2025,6.92743206,0
999_2025_SAR,999,SAR,2025,4.186757565,0.987483144
999_2030_AWR,999,AWR,2030,6.590278625,0.727578104
999_2030_CAR,999,CAR,2030,4.938147545,0.727578104
999_2030_NAR,999,NAR,2030,4.108756065,0.727578104
999_2030_PLSQ,999,PLSQ,2030,7.025497913,0
999_2030_SAR,999,SAR,2030,5.298998833,0.727578104
999_2050_AWR,999,AWR,2050,30.15179443,0.350108981
999_2050_CAR,999,CAR,2050,23.61334801,0.350108981
999_2050_NAR,999,NAR,2050,19.55592728,0.350108981
999_2050_PLSQ,999,PLSQ,2050,8.275466919,0
999_2050_SAR,999,SAR,2050,26.01504898,0.350108981
